key,clientASN,clientASName,download,upload,latencyMs,loss,clientCity,clientCountry,serverPoP
"Ashburn, US (to IAD)",136258,ONEPROVIDER-AS,18157218.953488372,39815897.38372093,194.59127906976744,0.00011627907529039534,Ashburn,US,IAD
"Ashburn, US (to IAD)",136787,PACKETHUBSA-AS-AP,69110908.1875,41435185.640625,85.27578125,0.00898437490104697,Ashburn,US,IAD
"Ashburn, US (to IAD)",137409,GSLNETWORKS-AS-AP,15005419.258064516,9783099.491935484,160.31693548387096,0.0005645161558453291,Ashburn,US,IAD
"Ashburn, US (to IAD)",141039,PACKETHUBSA-AS-AP,41914964.61948052,31388736.971428573,47.589480519480524,0.008819999966117261,Ashburn,US,IAD
"Ashburn, US (to IAD)",152586,KUROIT-AS-AP,16854418.847222224,21849796.125,208.65555555555557,0.0303333339591821,Ashburn,US,IAD
"Ashburn, US (to IAD)",200373,Drei-K-Tech-GmbH,6602420.35,3357360.525,235.6775,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",202015,HZ-US-AS,15132395.622222222,18451133.966666665,468.4744444444445,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",203020,HostRoyale,28663488.54347826,8028197.021739131,102.06521739130434,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",203724,MGG4-AS1,20489453.983529203,17961937.89227208,79.62142094017095,0.007755288395938954,Ashburn,US,IAD
"Ashburn, US (to IAD)",204928,AS-BONSAIHOST,12878628.277777778,7342726.333333333,224.54444444444445,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",205016,HERNLABS,2997484.625,3701360.9375,266.421875,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",212238,CDNEXT,25882154.997980613,28350908.9184168,100.30024232633279,0.008897495946902563,Ashburn,US,IAD
"Ashburn, US (to IAD)",213230,HETZNER-CLOUD2-AS,53046810.781294964,30762063.11438849,277.46818705035975,0.004866618785015541,Ashburn,US,IAD
"Ashburn, US (to IAD)",214996,netcup,13479993.277777778,17662176.944444444,284.6722222222222,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",215046,LTBY,112112108.06944445,36327413.44444445,22.866666666666667,0.10277778065452972,Ashburn,US,IAD
"Ashburn, US (to IAD)",215703,FREAKHOSTING,12221393.85,40990141.9,131.8,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",393262,TODYL-CLOUD,59351166.504854366,58798512.62135922,26.340776699029124,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",393559,WEBBING-USA,18241535.555555556,6971542.111111111,81.44444444444444,0.0020000000949949,Ashburn,US,IAD
"Ashburn, US (to IAD)",394089,GCP-ENTERPRISE-USER-TRAFFIC,40924797.366733976,32991367.12826855,56.86552296819788,0.008091842566131656,Ashburn,US,IAD
"Ashburn, US (to IAD)",394161,TESLA,114274558.75,141737754.2,25.73,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",394760,SAUCESERVERSCORP-01,14535978.65,20873331.05,189.945,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",396356,LATITUDE-SH,924916486.85,282733887.8,2.19,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",396982,GOOGLE-CLOUD-PLATFORM,32912706.144372296,41691233.893722944,67.68209956709957,0.0032466233238775373,Ashburn,US,IAD
"Ashburn, US (to IAD)",397137,SEIONTEC-SYSTEMS,19291433.944444444,10221119.518518519,38.67777777777778,0.13566666841506955,Ashburn,US,IAD
"Ashburn, US (to IAD)",397645,EPICGA-DC1-AS,102878908.45,122549169.3,25.425,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",398378,BOOST-MOBILE,15989742.04,9001044.6,73.442,0.00108000000938772,Ashburn,US,IAD
"Ashburn, US (to IAD)",398391,PERIMETER-81-LLC,45954066.05,77270026.15,27.425,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",399399,LUXOTTICA-NA,56271840.35,78724182.35,314.46999999999997,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",401041,AXIS-SECURITY,84877890.428125,71529031.028125,52.92375,0.02019937536679208,Ashburn,US,IAD
"Athens, GR (to SOF)",1241,FORTHNET-GR,57711284.925,149387863.425,72.0675,0.019000001018866848,Athens,GR,SOF
"Athens, GR (to SOF)",3329,HOL-GR,50429770.36111111,22515206.305555556,27.758333333333333,0.0,Athens,GR,SOF
"Athens, GR (to SOF)",14593,SPACEX-STARLINK,15219727.324972885,4638851.773590022,46.2488204989154,0.018649457855226592,Athens,GR,SOF
"Athens, GR (to SOF)",25472,WIND-AS,29451769.166666668,12041680.0,26.25,0.1330000013113021,Athens,GR,SOF
"Athens, GR (to SOF)",200736,INALAN,247365471.225,149463072.225,8.072500000000002,0.0,Athens,GR,SOF
"Atlanta, US (to ATL)",174,COGENT-174,115750588.33665836,84430843.49625935,31.180648379052368,0.007639235178208397,Atlanta,US,ATL
"Atlanta, US (to ATL)",367,DNIC-ASBLK-00306-00371,3566673.75,5241046.892857143,72.075,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",701,UUNET,117035958.60526316,94647673.42105263,16.25263157894737,0.0014210526439312106,Atlanta,US,ATL
"Atlanta, US (to ATL)",1828,UNITAS,58845968.5,60845132.35,7.505,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",2728,GIGSOUTH,302702708.31666666,235728392.3,2.75,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",3257,GTT-BACKBONE,77911934.375,59133955.15,40.5,0.0005000000237487,Atlanta,US,ATL
"Atlanta, US (to ATL)",3356,LEVEL3,91792853.52233677,89312034.88144329,25.605257731958762,0.001793814467784668,Atlanta,US,ATL
"Atlanta, US (to ATL)",3512,EUSHC,80376441.225,70990643.25,8.97,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",3549,LVLT-3549,197445043.5,175842782.75,4.35,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",3561,CENTURYLINK-LEGACY-SAVVIS,313137277.15,168045095.6,4.875,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",3842,RAMNODE,6747587.28,5737722.16,428.25800000000004,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",5555,SOHONETEU-AS,62983611.7,110138711.25,9.075,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",6167,CELLCO-PART,33732196.578125,5471089.8046875,139.11640625,0.0020781249331775953,Atlanta,US,ATL
"Atlanta, US (to ATL)",6389,BELLSOUTH-NET-BLK,316099175.45,154866139.25,3.755,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",6461,ZAYO-6461,118329167.77586207,108656468.86206897,65.93103448275862,0.0006206896846535896,Atlanta,US,ATL
"Atlanta, US (to ATL)",6501,SOUTHERNET,22935010.277777776,17805631.944444444,33.638888888888886,0.0010000000474974,Atlanta,US,ATL
"Atlanta, US (to ATL)",7018,ATT-INTERNET4,137507578.82704404,85644426.24276729,35.55950314465409,0.02837408845204531,Atlanta,US,ATL
"Atlanta, US (to ATL)",7029,WINDSTREAM,95307502.57532051,87713077.66266026,47.64530448717949,0.013429487059534614,Atlanta,US,ATL
"Atlanta, US (to ATL)",7165,EQUITABLE HOLDINGS-ASN,23425247.333333332,12704713.277777778,53.605555555555554,0.0080000003799796,Atlanta,US,ATL
"Atlanta, US (to ATL)",7725,COMCAST-7725,232288461.9,153168221.9,3.005,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",7922,COMCAST-7922,82117022.99578947,31359233.927611336,22.7840967611336,0.00501093117050781,Atlanta,US,ATL
"Atlanta, US (to ATL)",9009,M247,75958286.43181819,45518802.39772727,74.70568181818182,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",10967,HOMEDEPOTNET,34678160.73262032,33553492.78342246,40.782085561497325,0.0004812834117023663,Atlanta,US,ATL
"Atlanta, US (to ATL)",11686,ENA,208384234.45,240827140.35,4.7,0.003000000026077,Atlanta,US,ATL
"Atlanta, US (to ATL)",11878,TZULO,27258008.76068376,27498492.923076924,151.7358974358974,0.016316239236511716,Atlanta,US,ATL
"Atlanta, US (to ATL)",12083,WOW-INTERNET,4589555.944444444,8118184.083333333,127.5,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",13150,CATON,89860697.28823529,47518779.5882353,47.03588235294117,0.04019058932933736,Atlanta,US,ATL
"Atlanta, US (to ATL)",13335,CLOUDFLARENET,55882307.25,43219360.7,14.75,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",13649,ASN-FLEXENTIAL,24460198.81213018,17176471.78698225,70.18742603550295,0.0067964496232910745,Atlanta,US,ATL
"Atlanta, US (to ATL)",13767,DATABANK-DFW,361906172.95,285451972.3,2.96,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",13876,FIBER-64,129071409.3,161652094.23333332,4.358333333333333,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",14277,GIGSTREEM,122856392.55172414,82487434.4137931,61.18793103448276,0.0068965515699879664,Atlanta,US,ATL
"Atlanta, US (to ATL)",14593,SPACEX-STARLINK,32707049.330558125,6987970.962380512,51.330456367560906,0.01330040096069247,Atlanta,US,ATL
"Atlanta, US (to ATL)",14782,THEROCKETSCIENCEGROUP,19766340.260869566,7876819.456521739,61.52173913043478,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",15008,AISG,16464500.333333334,18250853.75,51.75555555555556,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",15342,DDPMI-1,11326941.555555556,16043682.888888888,82.41666666666667,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",15830,Equinix,40440314.12301587,41490727.71825397,172.17103174603173,0.000317460332538873,Atlanta,US,ATL
"Atlanta, US (to ATL)",16504,GRANITE,50989594.92388451,56131343.20603675,13.444444444444445,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",16509,AMAZON-02,36621922.47926267,17947464.741935484,354.5993087557604,0.008861751398629578,Atlanta,US,ATL
"Atlanta, US (to ATL)",16524,METTEL,38206862.64736842,16777346.963157896,36.83052631578948,0.01898947422833818,Atlanta,US,ATL
"Atlanta, US (to ATL)",16591,GOOGLE-FIBER,196352743.6576087,120773563.0978261,45.41929347826087,0.0459293484809282,Atlanta,US,ATL
"Atlanta, US (to ATL)",17077,BROADCAST-NETWORKS,103975194.55,72408503.7,14.05,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",17210,EVERYWHERE-WIRELESS-LLC,54688798.921052635,39371184.89473684,64.92105263157895,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",19510,HUM-19510,15687076.3,46247228.5,33.36,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",19855,MASERGY,30489479.763157893,43920175.815789476,105.77894736842104,0.12999999680017169,Atlanta,US,ATL
"Atlanta, US (to ATL)",19871,NETWORK-SOLUTIONS-HOSTING,1097703.111111111,15110797.0,397.7555555555556,0.0419999994337558,Atlanta,US,ATL
"Atlanta, US (to ATL)",20141,QTS-SUW1-ATL1,65145193.913461536,43574354.461538464,62.06923076923077,0.0675769228703127,Atlanta,US,ATL
"Atlanta, US (to ATL)",20347,GFN-US,516587052.2,246336483.4,2.5,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",20473,AS-VULTR,22363021.644444443,20712206.926666666,120.19566666666667,0.03122911124774771,Atlanta,US,ATL
"Atlanta, US (to ATL)",21808,PRLSS,7924003.857142857,808171.3571428572,204.17142857142858,0.202000007033348,Atlanta,US,ATL
"Atlanta, US (to ATL)",21859,ZEN-ECN,1217116.25,266365.5,234.375,0.8379999995231628,Atlanta,US,ATL
"Atlanta, US (to ATL)",21928,T-MOBILE-AS21928,29360584.55038416,7654311.199320331,65.8967420212766,0.0013810874558225635,Atlanta,US,ATL
"Atlanta, US (to ATL)",22351,INTELSAT-1,5932460.928571428,3411632.4285714286,117.21428571428571,0.08399999886751168,Atlanta,US,ATL
"Atlanta, US (to ATL)",22616,ZSCALER-SJC1,28795416.52389592,34854289.66693722,58.99064693244212,0.005919990456465419,Atlanta,US,ATL
"Atlanta, US (to ATL)",22674,SOUTHERNWINE,61131084.06521739,39402234.64130435,40.74130434782609,0.0,Atlanta,US,ATL
"Atlanta, US (to ATL)",22843,PROOFPOINT-ASN-US-EAST,95715927.4,62874238.725,32.5,0.0,Atlanta,US,ATL
