name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Oregon,US,202506,31.140344619750977,26.482994079589844,23.86476325988769,131.64720153808594,223.6382751464844,304.99688720703125,17.481571197509766,23.602344512939453,31.609375,223.6382751464844,23.602344512939453,26.482994079589844,US
Pennsylvania,US,202506,33.99591064453125,28.66571807861328,25.38456344604492,105.6234359741211,181.4624938964844,257.48516845703125,13.500781059265137,19.326562881469727,26.526561737060547,181.4624938964844,19.326562881469727,28.66571807861328,US
Rhode Island,US,202506,28.07260513305664,25.07050323486328,23.225954055786133,209.08253479003903,282.55078125,342.26873779296875,17.765625,25.9609375,34.317970275878906,282.55078125,25.9609375,25.07050323486328,US
South Carolina,US,202506,39.18602752685547,32.513648986816406,28.206323623657227,81.56953430175781,161.57186889648438,246.3382873535156,12.290864944458008,17.815624237060547,24.708593368530277,161.57186889648438,17.815624237060547,32.513648986816406,US
South Dakota,US,202506,28.20343971252441,24.66384506225586,22.727916717529297,186.1156311035156,262.79766845703125,331.28826904296875,19.73046875,27.064844131469727,35.896873474121094,262.79766845703125,27.064844131469727,24.66384506225586,US
Tennessee,US,202506,41.36153030395508,33.18115234375,27.84786796569824,78.81327819824219,152.6164093017578,232.0406188964844,11.643750190734863,17.026561737060547,23.940624237060547,152.6164093017578,17.026561737060547,33.18115234375,US
Texas,US,202506,38.8626708984375,31.65277862548828,27.490243911743164,79.33671569824219,158.49453735351562,242.96484375,12.190877914428713,17.667186737060547,24.102344512939453,158.49453735351562,17.667186737060547,31.65277862548828,US
Utah,US,202506,25.30870246887207,22.87268829345703,21.397920608520508,213.4539031982422,287.6078186035156,345.92578125,18.270313262939453,24.889062881469727,33.60234451293945,287.6078186035156,24.889062881469727,22.87268829345703,US
Vermont,US,202506,31.218402862548828,27.2318172454834,24.55937767028809,127.3000030517578,212.078125,286.16876220703125,16.5859375,22.65625,29.953907012939453,212.078125,22.65625,27.2318172454834,US
Virginia,US,202506,36.51666259765625,30.422746658325195,26.558914184570312,76.1578140258789,153.2843780517578,233.6195373535156,12.6796875,18.424219131469727,25.077342987060547,153.2843780517578,18.424219131469727,30.422746658325195,US
Washington,US,202506,38.75965118408203,31.34984970092773,26.956676483154297,54.15625,136.0906219482422,222.7062530517578,13.706250190734863,19.35388565063477,26.075780868530277,136.0906219482422,19.35388565063477,31.34984970092773,US
West Virginia,US,202506,36.98567581176758,30.79537582397461,26.51548194885254,78.859375,151.77969360351562,224.7531280517578,12.016406059265137,17.662500381469727,24.447656631469727,151.77969360351562,17.662500381469727,30.79537582397461,US
